100014748;	312;	0;	2021@11@04
100014749;	49;	0;	2021@11@18
100014776;	90;	0;	2021@11@18
100014778;	1063;	0;	2021@11@18
100014798;	397;	1;	2021@11@10
100014826;	213;	0;	2021@11@18
100014827;	213;	0;	2021@11@30
100014828;	77;	0;	2021@11@18
100014829;	77;	0;	2021@11@18
100014830;	144;	0;	2021@11@18
100014831;	144;	0;	2021@11@18
100014832;	82;	0;	2021@11@18
100014833;	82;	0;	2021@11@18
100014834;	52;	0;	2021@11@18
100014835;	60;	0;	2021@11@18
100014836;	77;	0;	2021@11@18
100014837;	77;	0;	2021@11@18
100014839;	11;	0;	2021@11@18
100014846;	4478;	0;	2021@11@18
100014854;	539;	0;	2021@11@18
100014861;	58;	0;	2021@11@18
100014862;	62;	0;	2021@11@18
100014891;	152;	0;	2021@11@18
100014901;	386;	0;	2021@11@18
100014903;	224;	0;	2021@11@18
100014907;	304;	0;	2021@11@18
100014910;	10588;	0;	2021@11@18
100014911;	10588;	0;	2021@11@18
100014912;	10588;	0;	2021@11@18
100014923;	1208;	0;	2021@11@20
100014925;	258;	0;	2021@11@18
100014926;	515;	0;	2021@11@18
100014927;	140;	0;	2021@11@18
100014938;	1774;	0;	2021@11@18
100014962;	2666;	0;	2021@11@18
100014963;	2666;	0;	2021@11@06
100014964;	1289;	0;	2021@11@18
100014965;	2666;	0;	2021@11@18
100014966;	2666;	0;	2021@11@18
100014967;	2666;	0;	2021@11@18
100014968;	2614;	0;	2021@11@18
100014969;	5912;	0;	2021@11@18
100014985;	537;	0;	2021@11@18
100015001;	491;	0;	2021@12@20
100015011;	494;	0;	2021@11@18
100015041;	79;	0;	2021@11@06
100015068;	28;	0;	2021@11@18
100015070;	583;	0;	2021@11@18
100015071;	597;	0;	2021@11@18
100015072;	619;	0;	2021@11@18
100015078;	1299;	0;	2021@11@18
100015167;	4405;	0;	2021@11@18
100015182;	108;	3;	2021@11@24
100015192;	331;	0;	2021@11@18
100015197;	63;	0;	2021@11@18
100015199;	2329;	0;	2021@11@18
100015218;	474;	0;	2021@11@18
100015219;	41;	0;	2021@11@18
100015220;	48;	0;	2021@11@18
100015247;	78;	0;	2021@11@18
100015250;	270;	0;	2021@12@21
100015252;	1772;	0;	2021@11@18
100015253;	546;	0;	2021@11@18
100015259;	18;	0;	2021@11@18
100015261;	1848;	0;	2021@11@18
100015272;	7612;	0;	2021@11@18
100015274;	1165;	0;	2021@11@18
100015281;	161;	0;	2021@11@18
100015284;	381;	0;	2021@11@18
100015291;	352;	0;	2021@11@13
100015292;	341;	0;	2021@11@05
100015293;	97;	0;	2021@11@18
100015295;	447;	0;	2021@11@18
100015296;	97;	0;	2021@11@18
100015297;	97;	0;	2021@11@18
100015298;	97;	0;	2021@11@05
100015302;	1657;	0;	2021@11@18
100015308;	1165;	0;	2021@11@18
100015322;	7612;	0;	2021@11@18
100015324;	90;	0;	2021@11@18
100015331;	443;	0;	2021@11@18
100015332;	45;	0;	2021@11@18
100015333;	72;	0;	2021@11@18
100015340;	1791;	0;	2021@11@18
100015341;	1837;	0;	2021@11@18
100015342;	2956;	0;	2021@11@18
100015374;	69;	0;	2021@11@18
100015375;	28;	0;	2021@11@18
100015376;	37;	0;	2021@11@18
100015377;	50;	0;	2021@11@18
100015378;	314;	0;	2021@11@18
